id,party_id,ideology,news-freq,dis-freq,polarization,party
299,rep,4,1.355555556,1.666666667,9,4
211,rep,5,2.561111111,2.296444444,8.5,5
1257,rep,4,1.913555556,1.814888889,0.5,4
996,rep,5,3.111111111,4.111111111,10,5
158,ind,3,1.860222222,1,1,3
820,ind,4,1.961111111,3.148222222,0,3
1108,rep,3,2.255555556,3.111111111,4.5,4
475,ind,3,1.677777778,1.118444444,6.5,3
77,rep,3,1.694444444,1.666666667,7,4
130,ind,2,1.8,1,5,3
213,ind,3,1.883333333,1.177777778,0,3
584,dem,4,3.166666667,2.518444444,9.5,2
1118,rep,4,2.933333333,3.229555556,2,4
947,ind,3,2.766666667,1.148222222,2,3
783,ind,2,3.488888889,1.555555556,3.5,3
821,ind,4,3.177777778,2.962888889,2,3
207,dem,3,2.872222222,1,5,2
866,ind,3,2.111111111,2.926,6.5,3
1273,ind,3,3.188888889,1,5,3
779,rep,4,4.577777778,3.592666667,4,4
953,dem,2,2.345777778,2.185111111,7.5,2
1055,rep,4,1.855555556,1.518444444,8.5,4
678,dem,2,1.333333333,1.518444444,9,1
699,dem,2,1.777777778,1.740666667,8.5,2
911,ind,3,2.972222222,1.962888889,4.5,3
982,ind,3,1.805555556,1.592666667,0,3
686,rep,3,2.994444444,2.555555556,8.5,4
526,rep,4,1.488888889,1.259111111,2,5
653,dem,3,2.427777778,1.703777778,7.5,1
336,ind,2,3.861111111,1.444444444,3.5,3
1290,ind,3,1.855555556,1.037111111,0,3
792,dem,2,2.183333333,1.925777778,4,2
1063,rep,4,3.744444444,3.726,4.5,4
718,dem,3,1.972222222,1.851777778,6.5,2
1251,ind,3,1.811111111,1.777777778,9,3
739,dem,4,2.5,1.407333333,1.5,2
428,ind,3,2.227777778,2,2,3
156,dem,2,3.483333333,3.074,8,2
54,rep,4,1.444444444,2.111111111,7.5,4
1086,rep,5,1.822222222,2.888888889,7.5,4
1153,rep,5,2.822222222,2.592444444,10,4
223,ind,3,1.866666667,1.222222222,10,3
794,dem,2,3.144444444,1.555555556,5.5,2
845,dem,3,1.555555556,1.740666667,7,2
472,rep,5,4.377777778,1.333333333,10,5
196,dem,2,2.005555556,1.555555556,1.5,2
743,dem,2,1.944444444,1.074,8.5,1
1138,rep,4,2.744444444,1.518444444,3.5,4
959,dem,3,3.311111111,2.740666667,6,2
310,rep,4,1.527777778,1.740888889,4.5,4
511,dem,3,3.388888889,1.444444444,8.5,2
396,rep,3,3.166666667,1,10,5
201,rep,4,1.827777778,1.407333333,7,4
942,rep,4,2.622222222,1.888888889,0,4
1330,ind,4,2.011111111,1.237111111,3.5,3
408,dem,4,2.344444444,1.740666667,8.5,2
807,rep,4,1.844444444,1.926,3,5
71,ind,3,3.766666667,3.444444444,5,3
837,ind,1,3.844444444,2.962888889,3.5,3
836,dem,1,2.372222222,1.703777778,2.5,2
1301,ind,3,1.416666667,1.185111111,6,3
828,rep,4,1.5,2,0,4
824,ind,4,1.950666667,1.926,0,3
531,ind,4,2.222222222,1.259333333,7.5,3
192,rep,4,1.722222222,1.259333333,7,4
191,dem,2,3.45,1.926,6,1
1318,dem,3,1.555555556,1.333333333,6,2
822,ind,3,3.422222222,2.629777778,1,3
155,rep,4,2.177777778,3.259333333,0,4
514,dem,2,1.644444444,1.629555556,7.5,2
230,dem,2,2.766666667,1.481555556,6,2
1299,dem,4,1.705555556,1.555555556,5.5,2
957,dem,3,4.316666667,4,1,2
720,rep,3,2.016666667,1.481555556,0.5,4
432,ind,2,2.005555556,1.037111111,1,3
128,ind,3,4.133333333,1,0,3
429,dem,2,1.95,1.333333333,10,2
290,ind,3,1.583333333,1.592666667,9,3
1044,dem,4,3.322222222,2.629777778,2,2
1249,ind,2,3.194444444,1.888888889,5,3
37,dem,1,1.155555556,2.666666667,1.5,1
102,rep,4,1.327777778,1.148222222,0.5,4
383,dem,2,2.413555556,2.259333333,7,2
719,rep,3,1.833333333,2.037111111,5.5,4
1313,dem,5,4.9,4.333333333,4.5,1
397,rep,5,1.305555556,1.222222222,3,5
713,rep,5,1.75,1.481555556,10,5
426,rep,3,2.4,1.333333333,2.5,4
918,rep,5,1.8,1.148,9.5,5
72,rep,4,2.85,3.222222222,1.5,4
689,ind,3,2.033333333,1.666666667,6.5,3
903,dem,3,2.294444444,2.259333333,3,2
1170,rep,3,3.488888889,2.870444444,3,4
1060,rep,4,1.533333333,1.555555556,1.5,4
146,dem,2,2.366666667,1,2.5,2
829,ind,3,1.872222222,2.777777778,7,3
123,ind,3,1.427777778,2.037111111,5,3
138,rep,2,1.088888889,1,2.5,4
672,rep,3,2.627777778,1.296222222,4.5,4
1241,ind,3,2.933333333,1.888888889,6,3
286,ind,3,2.533333333,1,10,3
546,dem,2,3.366666667,2.592666667,9.5,2
1114,dem,2,3.633333333,2.259111111,5.5,2
735,rep,3,3.472222222,3.259333333,1,4
